doc,left,top,right,bottom,text,font_size,font_family,color,bold,italic,column,label
adelejenkins.pdf,337,702,660,887,Sample,164,Times,#000000,False,False,0,null
adelejenkins.pdf,358,109,568,142,Adele Jenkins,27,Times,#000000,True,False,null,name
adelejenkins.pdf,131,147,792,165,424 Circle Place Colorado Springs\, CO 80905 adelejenkins@aol.com (719) 981-9801,14,Times,#000000,False,False,null,null
adelejenkins.pdf,109,185,815,208,Highly experienced Morning Show Anchor and Reporter with a proven,18,Times,#000000,True,False,0,null
adelejenkins.pdf,210,209,714,232,track record for handling live interviews with ease,18,Times,#000000,True,False,0,null
adelejenkins.pdf,316,252,616,279,Summary of Qualifications,22,Times,#000000,False,False,0,null
adelejenkins.pdf,108,298,815,316,More than seven years experience gained in commercial television news combined with a,14,Times,#000000,False,False,0,null
adelejenkins.pdf,108,317,814,335,college degree. Popular with viewers and accessible; well-traveled with a genuine interest in a,14,Times,#000000,False,False,0,null
adelejenkins.pdf,108,336,815,354,variety of subjects. Able to quickly gain the trust of sources and enterprise exclusive story ideas.,14,Times,#000000,False,False,0,null
adelejenkins.pdf,108,355,815,373,Strong ability to stay calm and think on feet during equipment malfunctions. Compelling,14,Times,#000000,False,False,0,null
adelejenkins.pdf,108,374,815,392,storyteller\, fast typist with speed exceeding 60 WPM. Professional demeanor in the newsroom,14,Times,#000000,False,False,0,null
adelejenkins.pdf,108,393,766,411,and the community. Highly knowledgeable about Colorado news\, geography\, and politics.,14,Times,#000000,False,False,0,null
adelejenkins.pdf,127,431,815,449,Adele always brings great story ideas to the morning meeting and is genuinely nice to,14,Times,#000000,True,True,0,null
adelejenkins.pdf,312,450,819,468,work with. Shes always been helpful\, gracious\, and generous.,14,Times,#000000,True,True,0,null
adelejenkins.pdf,526,469,815,487,Susan Geary\, KRDO News Producer,14,Times,#000000,False,True,0,null
adelejenkins.pdf,396,507,536,534,Experience,22,Times,#000000,False,False,0,null
adelejenkins.pdf,162,554,219,572,Anchor,14,Times,#000000,False,False,0,null
adelejenkins.pdf,401,554,471,572,Reporter,14,Times,#000000,False,False,0,null
adelejenkins.pdf,641,554,713,572,Producer,14,Times,#000000,False,False,0,null
adelejenkins.pdf,162,574,218,592,Emcee,14,Times,#000000,False,False,0,null
adelejenkins.pdf,401,574,440,592,Host,14,Times,#000000,False,False,0,null
adelejenkins.pdf,641,574,690,592,Writer,14,Times,#000000,False,False,0,null
adelejenkins.pdf,162,594,274,612,Field Producer,14,Times,#000000,False,False,0,null
adelejenkins.pdf,401,594,540,612,Assignment Editor,14,Times,#000000,False,False,0,null
adelejenkins.pdf,627,593,691,611,Model,14,Times,#000000,False,False,0,null
adelejenkins.pdf,340,632,591,659,Career Achievements,22,Times,#000000,False,False,0,null
adelejenkins.pdf,293,678,630,696,Voted Best Anchor The Independent 2004,14,Times,#000000,False,False,0,null
adelejenkins.pdf,139,697,784,715,Helped Weekend News team win an Associated Press Award for Breaking News 2002,14,Times,#000000,False,False,0,null
adelejenkins.pdf,141,716,781,734,Handled live coverage of the 2002 Blizzard which was entirely unscripted for four hours,14,Times,#000000,False,False,0,null
adelejenkins.pdf,126,735,796,753,Recognized for Commitment to Donation by COPA for series reporting on Organ Donations,14,Times,#000000,False,False,0,null
adelejenkins.pdf,387,773,544,800,Work History,22,Times,#000000,False,False,0,null
adelejenkins.pdf,108,820,438,838,KRDO-TV/News 13 Colorado Springs\, CO,14,Times,#000000,True,False,0,null
adelejenkins.pdf,694,820,814,838,1999 Present,14,Times,#000000,True,False,0,null
adelejenkins.pdf,108,839,593,857,Morning News Anchor / Co-host / Reporter for an ABC affiliate.,14,Times,#000000,False,True,0,null
adelejenkins.pdf,689,839,815,857,[2000 Present],14,Times,#000000,False,False,0,null
adelejenkins.pdf,135,857,801,877,Write and help produce Good Morning Colorado\, a two-hour program of live interviews\,,14,Times,#000000,False,False,0,null
adelejenkins.pdf,162,878,796,896,news\, and cooking segments\, along with cut-ins during ABCs Good Morning America.,14,Times,#000000,False,False,0,null
adelejenkins.pdf,135,896,771,916,Anchor GMC On the Road several times per year throughout southern Colorado.,14,Times,#000000,False,False,0,null
adelejenkins.pdf,135,916,789,936,Maintain excellent working relationships with production crews and producers to keep,14,Times,#000000,False,False,0,null
adelejenkins.pdf,162,937,597,955,show on pace and seamlessly meet network programming.,14,Times,#000000,False,False,0,null
adelejenkins.pdf,135,955,810,975,Report on a variety of topics for 5PM and 6PM newscasts\, including Parenting\, the Spirit,14,Times,#000000,False,False,0,null
adelejenkins.pdf,162,976,530,994,of Colorado Springs\, Health Beat\, and hard news.,14,Times,#000000,False,False,0,null
adelejenkins.pdf,135,994,778,1014,Serve as a station representative within the community at fundraisers\, auctions\, and,14,Times,#000000,False,False,0,null
adelejenkins.pdf,162,1015,674,1033,telethons\, helping to break revenue records for Hospice and St. Jude.,14,Times,#000000,False,False,0,null
